title,authors,year,doi,url,publisher,type,reference_count,is_referenced_by_count
Isolation of the Endophytic Fungus Aspergillus terreus from a Halophyte (Tetraena qatarensis) and Assessment of Its Potential in Tomato Seedling Protection,"Fedae Alhaddad, Talaat Ahmed, Samir Jaoua, Mohammad A. Al-Ghouti, Roda Al-Thani, Mohammed Abu-Dieyeh",2024,10.3390/plants13162218,https://doi.org/10.3390/plants13162218,MDPI AG,journal-article,65,5
Tissue-specificity of ROS-induced K+ and Ca2+ fluxes in succulent stems of the perennial halophyte Sarcocornia quinqueflora in the context of salinity stress tolerance,"Hassan Ahmed Ibraheem Ahmed, Lana Shabala, Sergey Shabala",2021,10.1016/j.plaphy.2021.07.006,https://doi.org/10.1016/j.plaphy.2021.07.006,Elsevier BV,journal-article,44,13
Arabidopsis plants constitutively overexpressing a myo-inositol 1-phosphate synthase gene (SaINO1) from the halophyte smooth cordgrass exhibits enhanced level of tolerance to salt stress,"Rohit Joshi, Mangu Venkata Ramanarao, Niranjan Baisakh",2013,10.1016/j.plaphy.2013.01.009,https://doi.org/10.1016/j.plaphy.2013.01.009,Elsevier BV,journal-article,22,52
Salinity Induced Leaf Anatomical Responses and Chemical Composition in Tetragonia decumbens Mill.: an Underutilized Edible Halophyte in South Africa,"A. Sogoni, M. O. Jimoh, M. Keyster, L. Kambizi, C. P. Laubscher",2023,10.1134/s1021443723601775,https://doi.org/10.1134/s1021443723601775,Pleiades Publishing Ltd,journal-article,40,5
Sodium Chloride Compartmentation in Leaf Vacuoles of the Halophyte Suaeda<i>maritima</i>(L.) Dum. and its Relation to Tonoplast Permeability,"F. J. M. MAATHUIS, T. J. FLOWERS, A. R. YEO",1992,10.1093/jxb/43.9.1219,https://doi.org/10.1093/jxb/43.9.1219,Oxford University Press (OUP),journal-article,0,35
"Na
                    <i>+</i>
                    /H
                    <i>+</i>
                    exchange in the halophyte
                    <i>Mesembryanthemum crystallinum</i>
                    is associated with cellular sites of Na
                    <i>+</i>
                    storage","Bronwyn J. Barkla, Rosario Vera-Estrella, Jesus Camacho-Emiterio, Omar Pantoja",2002,10.1071/fp02045,https://doi.org/10.1071/fp02045,CSIRO Publishing,journal-article,0,50
"Stomatal limitation of photosynthesis and reduced growth of the halophyte, <i>Plantago maritima</i> L., at high salinity","L. B. FLANAGAN, R. L. JEFFERIES",1988,10.1111/j.1365-3040.1988.tb01142.x,https://doi.org/10.1111/j.1365-3040.1988.tb01142.x,Wiley,journal-article,26,38
Evidence that arbuscular mycorrhizal and phosphate-solubilizing fungi alleviate NaCl stress in the halophyte Kosteletzkya virginica: nutrient uptake and ion distribution within root tissues,"Huan Shi Zhang, Feng Fei Qin, Pei Qin, Shao Ming Pan",2013,10.1007/s00572-013-0546-3,https://doi.org/10.1007/s00572-013-0546-3,Springer Science and Business Media LLC,journal-article,65,46
Osmotic adjustment and ion balance traits of an alkali resistant halophyte Kochia sieversiana during adaptation to salt and alkali conditions,"Chunwu Yang, Jianna Chong, Changyou Li, Changmin Kim, Decheng Shi, Deli Wang",2007,10.1007/s11104-007-9251-3,https://doi.org/10.1007/s11104-007-9251-3,Springer Science and Business Media LLC,journal-article,52,301
Salt-driven dynamic folding of halophile-origin enzymes: Insights into evolution and protein exploitation,"Yu-Ke Cen, Lin Zhang, Meng-Ping Liu, Chao Xiang, Tao-Xu Lu, Ya-Ping Xue, Yu-Guo Zheng",2025,10.1016/j.ijbiomac.2025.140527,https://doi.org/10.1016/j.ijbiomac.2025.140527,Elsevier BV,journal-article,26,2
Quantitative evaluation of endogenous reference genes for ddPCR under salt stress using a moderate halophile,"Qinghua Xing, Noha M. Mesbah, Haisheng Wang, Jun Li, Baisuo Zhao",2023,10.1007/s00792-023-01295-2,https://doi.org/10.1007/s00792-023-01295-2,Springer Science and Business Media LLC,journal-article,37,2
Contrasting Responses of Photosynthesis to Salt Stress in the Glycophyte Arabidopsis and the Halophyte Thellungiella: Role of the Plastid Terminal Oxidase as an Alternative Electron Sink,"Piotr Stepien, Giles N. Johnson",2008,10.1104/pp.108.132407,https://doi.org/10.1104/pp.108.132407,Oxford University Press (OUP),journal-article,0,369
"Analysis of protein solvent interactions in glucose dehydrogenase from the extreme halophile
                    <i>Haloferax mediterranei</i>","K. Linda Britton, Patrick J. Baker, Martin Fisher, Sergey Ruzheinikov, D. James Gilmour, María-José Bonete, Juan Ferrer, Carmen Pire, Julia Esclapez, David W. Rice",2006,10.1073/pnas.0508854103,https://doi.org/10.1073/pnas.0508854103,Proceedings of the National Academy of Sciences,journal-article,37,123
Harnessing the Rhizosphere of the Halophyte Grass Aeluropus littoralis for Halophilic Plant-Growth-Promoting Fungi and Evaluation of Their Biostimulant Activities,"Mohamed Tarroum, Walid Ben Romdhane, Ahmed Abdelrahim Mohamed Ali, Fahad Al-Qurainy, Abdullah Al-Doss, Lotfi Fki, Afif Hassairi",2021,10.3390/plants10040784,https://doi.org/10.3390/plants10040784,MDPI AG,journal-article,60,25
Abscisic acid has contrasting effects on salt excretion and polyamine concentrations of an inland and a coastal population of the Mediterranean xero-halophyte species Atriplex halimus,"A. Ben Hassine, M. E. Ghanem, S. Bouzid, S. Lutts",2009,10.1093/aob/mcp174,https://doi.org/10.1093/aob/mcp174,Oxford University Press (OUP),journal-article,56,45
"Taxonomic complexity in the halophyte Limonium vulgare and related taxa (Plumbaginaceae): insights from analysis of morphological, reproductive and karyological data","Ana Cortinhas, Matthias Erben, Ana Paula Paes, Dalila Espírito Santo, Miguel Guara-Requena, Ana D. Caperta",2014,10.1093/aob/mcu186,https://doi.org/10.1093/aob/mcu186,Oxford University Press (OUP),journal-article,58,25
Anti-Toxoplasmosis Effect of the Halophyte Suaeda maritime,"Sunhwa Hong, Hyun-A Lee, Yun-Seong Lee, Dong-Woo Kim, Jae-Hyeok Jeong, Tae-Wan Kim, Okjin Kim",2014,10.7732/kjpr.2014.27.5.415,https://doi.org/10.7732/kjpr.2014.27.5.415,The Plant Resources Society of Korea,journal-article,21,2
Responses to Salt Stress in the Halophyte Mesembryanthemum Crystallinum,"Hans J. Bohnert, John C. Thomas, E. Jay DeRocher, Christine B. Michalowski, Heimo Breiteneder, Dan M. Vernon, Wei Deng, Shigehiro Yamada, Richard G. Jensen",1994,10.1007/978-3-642-79133-8_25,https://doi.org/10.1007/978-3-642-79133-8_25,Springer Berlin Heidelberg,book-chapter,59,4
The response of a model C3/CAM intermediate semi-halophyte Mesembryanthemum crystallinum L. to elevated cadmium concentrations,"Michał Nosek, Adriana Kaczmarczyk, Marta Śliwa, Roman Jędrzejczyk, Andrzej Kornaś, Paulina Supel, Paweł Kaszycki, Zbigniew Miszalski",2019,10.1016/j.jplph.2019.153005,https://doi.org/10.1016/j.jplph.2019.153005,Elsevier BV,journal-article,59,18
"Meta-analysis of microarray and RNAseq data reveal OsbZIP52 to mediate salt stress responses in sensitive, tolerant and halophyte rice varieties","Dipankor Chatterjee, Mohammad Umer Sharif Shohan, Nishat Tamanna, Zeba I. Seraj",2023,10.1186/s43170-023-00173-3,https://doi.org/10.1186/s43170-023-00173-3,CABI Publishing,journal-article,110,3
Salt Tolerance in the Halophyte Suaeda maritima L. Dum.—the Effect of Oxygen Supply and Culture Medium on Growth,"Gazala M. Alhdad, Timothy J. Flowers",2020,10.1007/s42729-020-00384-x,https://doi.org/10.1007/s42729-020-00384-x,Springer Science and Business Media LLC,journal-article,37,3
"Thriving under Salinity: Growth, Ecophysiology and Proteomic Insights into the Tolerance Mechanisms of Obligate Halophyte Suaeda fruticosa","Bilquees Gul, Abdul Hameed, Muhammad Zaheer Ahmed, Tabassum Hussain, Sarwat Ghulam Rasool, Brent L. Nielsen",2024,10.3390/plants13111529,https://doi.org/10.3390/plants13111529,MDPI AG,journal-article,111,6
"Factors influencing seed germination of Salsola affinis (Chenopodiaceae), a dominant annual halophyte inhabiting the deserts of Xinjiang, China","Yan Wei, Ming Dong, Zhen-ying Huang, Dun-yan Tan",2008,10.1016/j.flora.2007.02.003,https://doi.org/10.1016/j.flora.2007.02.003,Elsevier BV,journal-article,33,71
Interactive Effects of Sodium Chloride and Nitrogen on Growth and Ion Accumulation of a Halophyte,"Xiaojing Liu, Yanmin Yang, Weiqiang Li, Cunzhen Li, Deyu Duan, Toshiaki Tadano",2004,10.1081/css-200028936,https://doi.org/10.1081/css-200028936,Informa UK Limited,journal-article,0,12
The Effect of Elevated Temperature on Salt Tolerance Mechanism in C4 Xero-Halophyte Kochia prostrata,"Z. F. Rakhmankulova, E. V. Shuyskaya, M. Yu. Prokofieva, K. N. Toderich, N. Yamanaka, P. Yu. Voronin",2022,10.1134/s1021443722060322,https://doi.org/10.1134/s1021443722060322,Pleiades Publishing Ltd,journal-article,40,5
Interactive Effect of Salinity and Drought on the Germination of Dimorphic Seeds of Suaeda salsa,"Wei Huang, Weiqiang Li, Zhen Niu, Zhixia Xie, Xiaojing Liu",2014,10.1007/978-94-007-7411-7_10,https://doi.org/10.1007/978-94-007-7411-7_10,Springer Netherlands,book-chapter,38,1
"&lt;div&gt;
 Differentially Expressed Long-Term Salinity&amp;nbsp;&lt;span&gt;Responsive Sequences in Halophyte&amp;nbsp;&lt;/span&gt;&lt;span&gt;Suaeda maritima (L.) Dumort&lt;/span&gt;
&lt;/div&gt;","Dr. Shrikanth Saraswathi Krishnamurthi, Ajay Parida",2025,10.2139/ssrn.5086094,https://doi.org/10.2139/ssrn.5086094,Elsevier BV,journal-article,0,0
Cadmium has contrasting effects on polyethylene glycol – Sensitive and resistant cell lines in the Mediterranean halophyte species Atriplex halimus L.,"Isabelle Lefèvre, Geoffrey Marchal, Michel Edmond Ghanem, Enrique Correal, Stanley Lutts",2010,10.1016/j.jplph.2009.09.019,https://doi.org/10.1016/j.jplph.2009.09.019,Elsevier BV,journal-article,49,43
Coordinate up-regulation of V-H+-ATPase and vacuolar Na+/H+ antiporter as a response to NaCl treatment in a C3 halophyte Suaeda salsa,"Nianwei Qiu, Min Chen, Jianrong Guo, Huayin Bao, Xiuling Ma, Baoshan Wang",2007,10.1016/j.plantsci.2007.02.013,https://doi.org/10.1016/j.plantsci.2007.02.013,Elsevier BV,journal-article,37,89
"Tolerance of the Australian halophyte, beaded samphire, Sarcocornia quinqueflora, to Pb and Zn under glasshouse conditions: Evaluating metal uptake and partitioning, photosynthetic performance, biomass, and growth","Rebecca A L Voigt, Geoff R MacFarlane",2024,10.1016/j.aquatox.2024.106887,https://doi.org/10.1016/j.aquatox.2024.106887,Elsevier BV,journal-article,53,3
"Rapid regulation of the plasma membrane H+-ATPase activity is essential to salinity tolerance in two halophyte species, Atriplex lentiformis and Chenopodium quinoa","Jayakumar Bose, Ana Rodrigo-Moreno, Diwen Lai, Yanjie Xie, Wenbiao Shen, Sergey Shabala",2014,10.1093/aob/mcu219,https://doi.org/10.1093/aob/mcu219,Oxford University Press (OUP),journal-article,62,184
Microbial functional genes play crucial roles in enhancing soil nutrient availability of halophyte rhizospheres in salinized grasslands,"Meng Liang, Yang Wu, Yaokun Jiang, Ziwen Zhao, Jinqiu Yang, Guobin Liu, Sha Xue",2025,10.1016/j.scitotenv.2024.178160,https://doi.org/10.1016/j.scitotenv.2024.178160,Elsevier BV,journal-article,67,14
Sap flow of two typical woody halophyte species responding to the meteorological and irrigation water conditions in Taklimakan Desert,"Jiao Liu, Ying Zhao, Yongdong Wang, Jianguo Zhang, Jie Xue, Shunke Wang, Jingjing Chang",2024,10.1016/j.ecohyd.2023.10.002,https://doi.org/10.1016/j.ecohyd.2023.10.002,Elsevier BV,journal-article,58,1
Morpho-Physiological Responses of Halophyte Climacoptera crassa to Salinity and Heavy Metal Stresses in In Vitro Condition,"Leila Samiei, Mahboubeh Davoudi Pahnehkolayi, Zahra Karimian, Jafar Nabati",2020,10.1016/j.sajb.2020.03.037,https://doi.org/10.1016/j.sajb.2020.03.037,Elsevier BV,journal-article,31,8
The effects of heavy metals on germination and seedling characteristics in two halophyte species in Mediterranean marshes,"B. Márquez-García, C. Márquez, I. Sanjosé, F.J.J. Nieva, P. Rodríguez-Rubio, A.F. Muñoz-Rodríguez",2013,10.1016/j.marpolbul.2013.02.019,https://doi.org/10.1016/j.marpolbul.2013.02.019,Elsevier BV,journal-article,51,36
Physiological and metabolic adjustments in the xero‐halophyte <i>Haloxylon salicornicum</i> conferring drought tolerance,"Ashok Panda, Jaykumar Rangani, Asish Kumar Parida",2021,10.1111/ppl.13351,https://doi.org/10.1111/ppl.13351,Wiley,journal-article,77,25
Effects of exogenously applied hydrogen peroxide on antioxidant and osmoprotectant profiles and the C3-CAM shift in the halophyte Mesembryanthemum crystallinum L.,"Ewa Surówka, Michał Dziurka, Maciej Kocurek, Sylwia Goraj, Marcin Rapacz, Zbigniew Miszalski",2016,10.1016/j.jplph.2016.05.021,https://doi.org/10.1016/j.jplph.2016.05.021,Elsevier BV,journal-article,59,23
Integrated multi-trophic aquaculture in a zero-exchange recirculation aquaculture system for marine fish and hydroponic halophyte production,"Uwe Waller, Anne K. Buhmann, Anneliese Ernst, Verena Hanke, Andreas Kulakowski, Bert Wecker, Jaime Orellana, Jutta Papenbrock",2015,10.1007/s10499-015-9898-3,https://doi.org/10.1007/s10499-015-9898-3,Springer Science and Business Media LLC,journal-article,46,46
Physiological and metabolic adjustments in the xero‐halophyte <i>Haloxylon salicornicum</i> conferring drought tolerance,"Ashok Panda, Jaykumar Rangani, Asish Kumar Parida",2021,10.1111/ppl.13351,https://doi.org/10.1111/ppl.13351,Wiley,journal-article,77,25
Effects of exogenously applied hydrogen peroxide on antioxidant and osmoprotectant profiles and the C3-CAM shift in the halophyte Mesembryanthemum crystallinum L.,"Ewa Surówka, Michał Dziurka, Maciej Kocurek, Sylwia Goraj, Marcin Rapacz, Zbigniew Miszalski",2016,10.1016/j.jplph.2016.05.021,https://doi.org/10.1016/j.jplph.2016.05.021,Elsevier BV,journal-article,59,23
Integrated multi-trophic aquaculture in a zero-exchange recirculation aquaculture system for marine fish and hydroponic halophyte production,"Uwe Waller, Anne K. Buhmann, Anneliese Ernst, Verena Hanke, Andreas Kulakowski, Bert Wecker, Jaime Orellana, Jutta Papenbrock",2015,10.1007/s10499-015-9898-3,https://doi.org/10.1007/s10499-015-9898-3,Springer Science and Business Media LLC,journal-article,46,46
POLLEN OF HALOPHYTE PLANTS AS AN INDICATOR OF THE MOVEMENT OF THE COASTLINE OF THE WHITE SEA,O.V. Lazareva,2022,10.54896/9785891188532_2022_37,https://doi.org/10.54896/9785891188532_2022_37,"Общество с ограниченной ответственностью ""Издательство ГЕОС""",proceedings-article,0,0
"Marinilactibacillus kalidii sp. nov., an Indole Acetic Acid-Producing Endophyte Isolated from a Shoot of Halophyte Kalidium cuspidatum","Xiao-Xian Huang, Lian Xu, Jia Shang, Ji-Quan Sun",2022,10.1007/s00284-022-02894-6,https://doi.org/10.1007/s00284-022-02894-6,Springer Science and Business Media LLC,journal-article,37,10
Salinity mediated cross-tolerance of arsenic toxicity in the halophyte Salvadora persica L. through metabolomic dynamics and regulation of stomatal movement and photosynthesis,"Monika Patel, Asish Kumar Parida",2022,10.1016/j.envpol.2022.118888,https://doi.org/10.1016/j.envpol.2022.118888,Elsevier BV,journal-article,59,26
"Microbulbifer rhizosphaerae sp. nov., isolated from the rhizosphere of the halophyte Arthrocnemum macrostachyum","Maria Camacho, Maria del Carmen Montero-Calasanz, Susana Redondo-Gómez, Ignacio Rodríguez-Llorente, Peter Schumann, Hans-Peter Klenk",2016,10.1099/ijsem.0.000955,https://doi.org/10.1099/ijsem.0.000955,Microbiology Society,journal-article,35,25
Evidence for a Na<sup>+</sup>/H<sup>+</sup> Antiporter in Membrane Vesicles Isolated from Roots of the Halophyte <i>Atriplex nummularia</i>,"Yael Braun, Miriam Hassidim, Henri R. Lerner, Leonora Reinhold",1988,10.1104/pp.87.1.104,https://doi.org/10.1104/pp.87.1.104,Oxford University Press (OUP),journal-article,0,29
Optimum Sterilization Method for In Vitro Cultivation of Dimorphic Seeds of the Succulent Halophyte Suaeda aralocaspica,"Yu Si, Yakupjan Haxim, Lei Wang",2022,10.3390/horticulturae8040289,https://doi.org/10.3390/horticulturae8040289,MDPI AG,journal-article,31,16
Oxidative stress and fluctuations of free and conjugated polyamines in the halophyte Mesembryanthemum crystallinum L. under NaCl salinity,"Nina I. Shevyakova, Victor Yu. Rakitin, Larisa A. Stetsenko, Evgeniya E. Aronova, Vladimir V. Kuznetsov",2006,10.1007/pl00021848,https://doi.org/10.1007/pl00021848,Springer Science and Business Media LLC,journal-article,40,2
"Salt secretion, proline accumulation and increased branching confer tolerance to drought and salinity in the endemic halophyte Limonium linifolium","P.T. Tabot, J.B. Adams",2014,10.1016/j.sajb.2014.05.009,https://doi.org/10.1016/j.sajb.2014.05.009,Elsevier BV,journal-article,44,21
"<i>Retracted</i>
                    : Growth, ion homeostasis, photosynthesis and photosystem II efficiency of an obligate halophyte,
                    <i>Salicornia brachiata</i>
                    , under increasing salinity","A. K. Parida, C. M. Hari Kishore, B. Jha",2010,10.1111/j.1438-8677.2010.00424.x,https://doi.org/10.1111/j.1438-8677.2010.00424.x,Wiley,journal-article,0,2
Enzymatic regulation of organic acid metabolism in an alkali-tolerant halophyte Chloris virgata during response to salt and alkali stresses,"Wang Huan, Bai Bing, Bai Ziyu, Shi Lijun, Ye Jinlin, Fan Siwen, Xu Huahua, Shi Decheng",2016,10.5897/ajb2016.15580,https://doi.org/10.5897/ajb2016.15580,Academic Journals,journal-article,1,5
"Author response for ""Great granny still ruling from the grave: phenotypical response of plant performance and seed functional traits to salt stress affects multiple generations of a halophyte""","Zhaoren Wang, Jerry M Baskin, Carol C Baskin, Xuejun Yang, Guofang Liu, Xuehua Ye, Zhenying Huang, Johannes H.C. Cornelissen",2021,10.1111/1365-2745.13789/v2/response1,https://doi.org/10.1111/1365-2745.13789/v2/response1,Wiley,peer-review,0,0
Phylogenetic Analysis and Diversity of Marine Bacteria Isolated from Rhizosphere Soils of Halophyte in Suncheon Bay,"Young-Hyun You, Jong Myong Park, Myung-Chul Lee, Jong-Guk Kim",2015,10.4014/mbl.1501.01004,https://doi.org/10.4014/mbl.1501.01004,Korean Society for Microbiology and Biotechnology,journal-article,0,2
Special Issue on Advances in Marine Biotechnology: Exploitation of Halophyte Plants,Catarina Guerreiro Pereira,2022,10.3390/app122010573,https://doi.org/10.3390/app122010573,MDPI AG,journal-article,41,0
"Biomass production, nutrient cycling, and carbon fixation by<i>Salicornia brachiata</i>Roxb.: A promising halophyte for coastal saline soil rehabilitation","Aditya P. Rathore, Doongar R. Chaudhary, Bhavanath Jha",2016,10.1080/15226514.2016.1146228,https://doi.org/10.1080/15226514.2016.1146228,Informa UK Limited,journal-article,65,42
The effect of dietary inclusion of halophyte Salicornia bigelovii Torr on growth performance and carcass characteristics of lambs,"M.S Kraidees, M.A Abouheif, M.Y Al-Saiady, A Tag-Eldin, H Metwally",1998,10.1016/s0377-8401(98)00191-6,https://doi.org/10.1016/s0377-8401(98)00191-6,Elsevier BV,journal-article,25,34
Full-Length Transcriptome Analysis of the Halophyte Nitraria sibirica Pall,"Huilong Zhang, Zhen Liu, Aishuang Hu, Haiwen Wu, Jianfeng Zhu, Fengzhi Wang, Pingping Cao, Xiuyan Yang, Huaxin Zhang",2022,10.3390/genes13040661,https://doi.org/10.3390/genes13040661,MDPI AG,journal-article,41,11
Salt tolerance in the halophyte Suaeda maritima L. Dum.,"N. J. W. Clipson, A. D. Tomos, T. J. Flowers, R. G. Wyn Jones",1985,10.1007/bf00392237,https://doi.org/10.1007/bf00392237,Springer Science and Business Media LLC,journal-article,28,56
"First record of Endophytic binucleate Rhizoctonia solani Isolated from Halophyte Plants Trachomitum venetum and Study of its Enzymatic Properties in Basrah, Iraq","Lina K. Awad, Mohammed A. Fayyadh",2024,10.1088/1755-1315/1371/3/032047,https://doi.org/10.1088/1755-1315/1371/3/032047,IOP Publishing,journal-article,33,0
"Callus formation, plant regeneration, and transient expression in the halophyte sea aster (Aster tripolium L.)","Yuichi Uno, Shigeyuki Nakao, Yumiko Yamai, Ryohei Koyama, Michio Kanechi, Noboru Inagaki",2009,10.1007/s11240-009-9564-4,https://doi.org/10.1007/s11240-009-9564-4,Springer Science and Business Media LLC,journal-article,17,8
Antioxidant Defenses in Wild Growing Halophyte <i>Crithmum maritimum</i> from Inland and Coastline Populations,"Lorenzo Gil, Samuel Pinya, Silvia Tejada, Xavier Capó, Antoni Sureda",2018,10.1002/cbdv.201800448,https://doi.org/10.1002/cbdv.201800448,Wiley,journal-article,33,15
Plant Growth Alterations in Halophyte Prosopis strombulifera (Lam.) Benth. and Natrophile Glycine max (L.) Merril in Response to Salinity and Changes in Auxin Transport,"Llanes Analia, Cena Mariano, Luna Virginia",2020,10.1007/s00344-020-10259-1,https://doi.org/10.1007/s00344-020-10259-1,Springer Science and Business Media LLC,journal-article,61,4
Rhizosphere properties in salt marshes are shaped by both soil genetic horizons and halophyte species,"Andrea Salvucci, Valeria Cardelli, Dominique Serrani, Lorenzo Camponi, Chiara Ruspi, Debora Casagrande Pierantoni, Laura Corte, Gianluigi Cardinali, Flavio Fornasier, Stefania Cocco, Giuseppe Corti",2025,10.1016/j.apsoil.2025.106449,https://doi.org/10.1016/j.apsoil.2025.106449,Elsevier BV,journal-article,92,1
Investigation of Antifungal and Anticancer Property of Zinc Oxide Nanoparticles Prepared Through Bioinspired Synthesis Using Endophytic Streptomyces Derived from Halophyte Salicornia brachiata Roxb,"Asmita Dhimmar, Raghu Solanki, Sunita Patel, Pramod B. Shinde",2024,10.1007/s12088-024-01402-7,https://doi.org/10.1007/s12088-024-01402-7,Springer Science and Business Media LLC,journal-article,52,1
Functional screening of genes from a halophyte wild rice relative Porteresia coarctata in Arabidopsis model identifies candidate genes involved in salt tolerance,"Venkata R. Mangu, Disna Ratnasekera, Jonalyn C. Yabes, Rod A. Wing, Niranjan Baisakh",2019,10.1016/j.cpb.2019.100107,https://doi.org/10.1016/j.cpb.2019.100107,Elsevier BV,journal-article,83,17
"SlXTH1, a xyloglucan endotransglucosylase/hydrolase in halophyte Suaeda liaotungensis, negatively regulates Arabidopsis seed germination under salt stress","Jieqiong Song, Haoran Ding, Nuo Cheng, Xinxin Li, Yanke Lu, Hongfei Wang, Changping Li, Qiuli Li",2025,10.1016/j.plantsci.2025.112672,https://doi.org/10.1016/j.plantsci.2025.112672,Elsevier BV,journal-article,64,0
"Isolation and Characterization of Expansin Genes in a Halophyte, Suaeda japonica","Soong-Taek Hwang, Suk Kyu Kim, Jong Gil Na, Jeom Sook Lee, Dongsu Choi",2013,10.5352/jls.2013.23.2.182,https://doi.org/10.5352/jls.2013.23.2.182,Korean Society of Life Science,journal-article,23,0
Heavy Metal Accumulation by the Halophyte Species Mediterranean Saltbush,"Stanley Lutts, Isabelle Lefèvre, Christine Delpérée, Sandrine Kivits, Caroline Dechamps, Antonio Robledo, Enrique Correal",2004,10.2134/jeq2004.1271,https://doi.org/10.2134/jeq2004.1271,Wiley,journal-article,44,148
The Chemical Composition and Technological Properties of Seagrasses a Basis for Their Use (A Review),"N. A. Milchakova, Benno Böer, L. I. Boyko, D. V. Mikulich",2014,10.1007/978-94-007-7411-7_22,https://doi.org/10.1007/978-94-007-7411-7_22,Springer Netherlands,book-chapter,73,5
Inhibitory Effects of the Halophyte Ligustrum Japonicum on Matrix Metalloproteinases Activity in PMA-stimulated HT-1080 cells,"Junse Kim, Chang-Suk Kong, Ki Hwan Moon, Youngwan Seo",2020,10.7841/ksbbj.2020.35.1.57,https://doi.org/10.7841/ksbbj.2020.35.1.57,Korean Society for Biotechnology and Bioengineering,journal-article,0,2
Microsatellite markers for the tetraploid halophyte <i>Suaeda maritima</i> (L.) Dumort. (Chenopodiaceae) and cross‐species amplification in related taxa,"KATHLEEN PRINZ, ISABELL HENSEN, STEPHAN SCHIE, THOMAS DEBENER, KURT WEISING",2009,10.1111/j.1755-0998.2009.02620.x,https://doi.org/10.1111/j.1755-0998.2009.02620.x,Wiley,journal-article,9,5
Effects of Salinity on the Response of the Wetland Halophyte Kosteletzkya virginica (L.) Presl. to Copper Toxicity,"Rui-Ming Han, Isabelle Lefèvre, Cheng-Jiang Ruan, Natacha Beukelaers, Pei Qin, Stanley Lutts",2011,10.1007/s11270-011-0931-5,https://doi.org/10.1007/s11270-011-0931-5,Springer Science and Business Media LLC,journal-article,51,35
SALT TOLERANCE IN THE HALOPHYTE <i>SUAEDA MARITIMA</i> (L.) DUM.,"N. J. W. CLIPSON, T. J. FLOWERS",1987,10.1111/j.1469-8137.1987.tb00873.x,https://doi.org/10.1111/j.1469-8137.1987.tb00873.x,Wiley,journal-article,21,25
Water potential in soil and <i>Atriplex nummularia</i> (phytoremediator halophyte) under drought and salt stresses,"Hidelblandi Farias de Melo, Edivan Rodrigues de Souza, Brivaldo Gomes de Almeida, Maurizio Mulas",2018,10.1080/15226514.2017.1374334,https://doi.org/10.1080/15226514.2017.1374334,Informa UK Limited,journal-article,31,20
Stability of thylakoid protein complexes and preserving photosynthetic efficiency are crucial for the successful recovery of the halophyte Cakile maritima from high salinity,"Nèjia Farhat, Wafa Kouas, Hans-Peter Braun, Ahmed Debez",2021,10.1016/j.plaphy.2021.05.044,https://doi.org/10.1016/j.plaphy.2021.05.044,Elsevier BV,journal-article,84,21
Exposure to High Salinity During Seed Development Markedly Enhances Seedling Emergence and Fitness of the Progeny of the Extreme Halophyte Suaeda salsa,"Jianrong Guo, Ming Du, Huaying Tian, Baoshan Wang",2020,10.3389/fpls.2020.01291,https://doi.org/10.3389/fpls.2020.01291,Frontiers Media SA,journal-article,55,44
Oxidative stress and fluctuations of free and conjugated polyamines in the halophyte Mesembryanthemum crystallinum L. under NaCl salinity,"Nina I. Shevyakova, Victor Yu. Rakitin, Larisa A. Stetsenko, Evgeniya E. Aronova, Vladimir V. Kuznetsov",2006,10.1007/s10725-006-0018-2,https://doi.org/10.1007/s10725-006-0018-2,Springer Science and Business Media LLC,journal-article,40,12
Modulation of structural and functional traits in facultative halophyte Salvadora oleoides Decne. For adaptability under hyper-arid and saline environments,"Ummar Iqbal, Mansoor Hameed, Farooq Ahmad, Muhammad Sajid Aqeel Ahmad, Nargis Naz, Muhammad Ashraf, Muhammad Kaleem",2023,10.1016/j.jaridenv.2023.104965,https://doi.org/10.1016/j.jaridenv.2023.104965,Elsevier BV,journal-article,62,19
THE STRUCTURE OF THE CUTICLE IN RELATION TO CUTICULAR TRANSPIRATION IN LEAVES OF THE HALOPHYTE <i>SUAEDA MARITIMA</i> (L.) DUM.,"M. A. Hajibagheri, J. L. Hall, T. J. Flowers",1983,10.1111/j.1469-8137.1983.tb02728.x,https://doi.org/10.1111/j.1469-8137.1983.tb02728.x,Wiley,journal-article,26,37
Effects of Insect Herbivory on Physiological and Biochemical (Oxidative Enzyme) Responses of the Halophyte &lt;I&gt;Atriplex subspicata&lt;/I&gt; (Chenopodiaceae),"P. D. Nabity, T. M. Heng-moss, L. G. Higley",2006,10.1603/0046-225x(2006)35[1677:eoihop]2.0.co;2,https://doi.org/10.1603/0046-225x(2006)35[1677:eoihop]2.0.co;2,Oxford University Press (OUP),journal-article,42,1
Determination on the Minimum Area for Conservation of Four Halophyte Species from the Southwestern Coast of Korea Based on AFLP,,2006,10.5141/jefb.2006.29.6.503,https://doi.org/10.5141/jefb.2006.29.6.503,The Ecological Society of Korea,journal-article,6,0
